ID,Project Title,Domain,Technologies
1,"LucidTales: Your Dream, Your Story (Generative Storytelling)",Gen-AI,"Python, Streamlit, Gemini Pro API, DALL·E 3, gTTS"
2,LLM-Enhanced Empathetic Service Robot,Robotics/AI,"Raspberry Pi, Mistral LLM (Ollama), OpenCV, Speech Recognition"
3,Public Fund Management System Using Blockchain,Blockchain,"Ethereum, Solidity, IPFS, React.js, Django"
4,Secure Blockchain E-Voting System,Blockchain,"Ganache, Solidity, OpenCV (Face ID), MongoDB"
5,Digital Forensic Security Model,Cybersecurity,"Optimal Key Encryption, RBAC, Python"
6,Smart Irrigation & Water Source Monitor (With Dry-Run Protection),IoT,"NodeMCU, Soil Sensor, Ultrasonic, ThingSpeak Cloud"
7,IoT Temperature Controlled Fan with Human Motion Sensing,IoT,"Arduino, PIR Sensor, Temp Sensor, DC Motor, LCD"
8,IoT Smart Mushroom Cultivation,IoT,"Auto-Misting, Temp/Humidity Sensors, IoT Monitoring"
9,Intelligent Door Access Control,IoT/Security,"Arduino, PIR, Metal Detector, Servo Motor"
10,Multi-Output Waste Processing,IoT,"Waste Segregation Modules, Embedded Systems"
11,Automated Diabetic Retinopathy Screening,Med-Tech,"MATLAB, Image Processing, GUI Design"
12,Alzheimer’s Disease Detection (3D MRI),Med-Tech,"Python, TensorFlow, CNN, SVM, Flask"
13,Virtual Voice Assistance (Speech Impaired),Med-Tech,"Audio Processing, NLP, Python"
14,Drone Relay Chain Network Simulation,Telecom,"MATLAB, Wireless Comm Toolbox"
15,5G mm-Wave Coverage Analysis,Telecom,"MATLAB, Antenna Toolbox, 5G Toolbox"
16,Detection And Classification of Cardiac Arrhythmia Using ML,ML,"Python, Flask, Machine Learning-Weighted-KNN, SVM"
17,Resume master: AI-Powered Career Suite,Gen-AI / Career-Tech,"Python, Streamlit, NLP , Resume Parsing, LLM API, AWS EC2, SQLite"
18,Deep Learning-Based TIL Scoring in Breast Cancer Histopathology,Medical AI ,"Python, ResNet-152, ViT, OpenCV, PyTorch"
19,Non-Traditional Classification Methods For Plant-Leaf Dysfunctions Diagnosis,DeepLearning,"Python, Flask, Deeplearning - CNN"
20,,,
